Tytuł;Data Zaindeksowania;Link;Cena zł
KOŁOWROTEK MATCH & FEEDER XF-3000 8+1 ŁOŻYSK 9649159515 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-match-feeder-xf-3000-8-1-lozysk-9649159515;09/23/2020 13:57:02;55.9
Kołowrotek Shimano Ultegra 14000 XTD 7210745674 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-shimano-ultegra-14000-xtd-7210745674;09/23/2020 14:03:37;689.0
KOŁOWROTEK SANGER MS RANGE ECON NX 3000 8998894439 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-sanger-ms-range-econ-nx-3000-8998894439;09/23/2020 13:59:29;141.0
Mistrall ODYS FD 6000 grunt morze ++ GRATISY ++ 4967145063 - Allegro.pl;https://allegro.pl/oferta/mistrall-odys-fd-6000-grunt-morze-gratisy-4967145063;09/23/2020 14:03:37;96.99
Kołowrotek DAM Quick 2 SLS 8000 9147281000 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-dam-quick-2-sls-8000-9147281000;09/23/2020 14:10:52;262.0
KOŁOWROTEK MIKADO INTRO RUNNER 5004 9378632397 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mikado-intro-runner-5004-9378632397;09/23/2020 14:09:13;80.0
Kołowrotek Mistrall DAXOS MATCH FD 2000 7+1BB 9291099551 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mistrall-daxos-match-fd-2000-7-1bb-9291099551;09/23/2020 13:58:37;128.9
KOŁOWROTEK RYOBI ECUSIMA 1000 WOBLER ECS-1000 9077229767 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-ryobi-ecusima-1000-wobler-ecs-1000-9077229767;09/23/2020 14:12:24;129.98
Kołowrotek Shimano Ultegra 5500 XTD 9680574803 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-shimano-ultegra-5500-xtd-9680574803;09/23/2020 14:02:02;629.99
Kołowrotek Okuma JAW 20 FD 3+1bb - 5 lat gwarancji 9553213780 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-okuma-jaw-20-fd-3-1bb-5-lat-gwarancji-9553213780;09/23/2020 14:12:24;108.99
JAXON KOŁOWROTEK BLUE DROP DX 400 KJ-BDX400 9196270750 - Allegro.pl;https://allegro.pl/oferta/jaxon-kolowrotek-blue-drop-dx-400-kj-bdx400-9196270750;09/23/2020 14:05:11;92.5
Shimano Ultegra 1000 SDH '98 made in Japan ! 9723306777 - Allegro.pl;https://allegro.pl/oferta/shimano-ultegra-1000-sdh-98-made-in-japan-9723306777;09/23/2020 14:12:04;100.0
Cormoran Kołowrotek VeyCor-BR 7PiF 5000 8966986051 - Allegro.pl;https://allegro.pl/oferta/cormoran-kolowrotek-veycor-br-7pif-5000-8966986051;09/23/2020 13:59:29;149.0
RUMPOL BTR600 BESTRUNNER 10BB WOLNY BIEG ALUMINIUM 6742679345 - Allegro.pl;https://allegro.pl/oferta/rumpol-btr600-bestrunner-10bb-wolny-bieg-aluminium-6742679345;09/23/2020 14:00:40;107.0
Kołowrotek Mikado Aperio 5007FD 7841540954 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mikado-aperio-5007fd-7841540954;09/23/2020 13:59:59;102.26
KOŁOWROTEK MIRACLE 8+1 ŁOŻYSK BX-4000 8681496520 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-miracle-8-1-lozysk-bx-4000-8681496520;09/23/2020 14:02:34;65.99
KOŁOWROTEK FX 2000 11 ŁOŻYSK SPŁAWIK SPINNING 9672142530 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-fx-2000-11-lozysk-splawik-spinning-9672142530;09/23/2020 14:09:13;54.9
KOŁOWROTEK SPINNINGOWY OKUMA CEYMAR XT-35 8995353070 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-spinningowy-okuma-ceymar-xt-35-8995353070;09/23/2020 14:04:50;209.0
KOŁOWROTEK RYOBI ZAUBER 3000 DRAGON ZAB-3000 9561699039 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-ryobi-zauber-3000-dragon-zab-3000-9561699039;09/23/2020 13:58:04;289.98
Mistrall Kołowrotek RUFFO FD40 4000 9217116785 - Allegro.pl;https://allegro.pl/oferta/mistrall-kolowrotek-ruffo-fd40-4000-9217116785;09/23/2020 14:09:45;64.0
Kołowrotek Mitchell Blue Water R 6000 9702576236 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mitchell-blue-water-r-6000-9702576236;09/23/2020 14:04:40;68.0
MIKADO KOŁOWROTEK APERIO 6007 FD DO METHOD FEEDER 8458542646 - Allegro.pl;https://allegro.pl/oferta/mikado-kolowrotek-aperio-6007-fd-do-method-feeder-8458542646;09/23/2020 14:11:32;109.0
KOŁOWROTEK Okuma Dynadrag XP Baitfeeder DAXP-7000 9501418853 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-okuma-dynadrag-xp-baitfeeder-daxp-7000-9501418853;09/23/2020 14:13:04;190.0
Kołowrotek spinningowy Ryobi Zauber CF 3000 FD 9450260031 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-spinningowy-ryobi-zauber-cf-3000-fd-9450260031;09/23/2020 14:03:16;399.0
Kołowrotek Mitchell Epic 1000 FD 9659648023 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mitchell-epic-1000-fd-9659648023;09/23/2020 14:03:27;222.0
KOŁOWROTEK DAIWA REGAL LT 2500D SPINNINGOWY 9102660933 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-daiwa-regal-lt-2500d-spinningowy-9102660933;09/23/2020 13:58:47;249.0
KOŁOWROTEK SUMOWO KARPIOWY MISTRALL DEMOS FD 8000 7179276724 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-sumowo-karpiowy-mistrall-demos-fd-8000-7179276724;09/23/2020 14:08:13;279.99
SPINNINGOWY KOŁOWROTEK MISTRALL CANOS SPIN FD 3000 9013442378 - Allegro.pl;https://allegro.pl/oferta/spinningowy-kolowrotek-mistrall-canos-spin-fd-3000-9013442378;09/23/2020 14:05:11;150.0
KOŁOWROTEK ROBINSON LONG CAST FD 304 9390898465 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-robinson-long-cast-fd-304-9390898465;09/23/2020 14:01:40;118.88
Kołowrotek Jaxon Red Carp FRXL 500 Wolny Bieg 8535401617 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-jaxon-red-carp-frxl-500-wolny-bieg-8535401617;09/23/2020 14:03:37;103.0
Kołowrotek Jaxon PIANO VS 400 Spin ,Feeder ,Grunt 9535189861 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-jaxon-piano-vs-400-spin-feeder-grunt-9535189861;09/23/2020 14:12:14;31.0
Multiplikator DAM Quick 6 BC 251 9093370249 - Allegro.pl;https://allegro.pl/oferta/multiplikator-dam-quick-6-bc-251-9093370249;09/23/2020 14:02:44;535.0
KOŁOWROTEK MISTRALL MARCUS RD 4000 9518687152 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mistrall-marcus-rd-4000-9518687152;09/23/2020 14:03:16;82.4
ABU GARCIA REVO STX 10 SPIN 9187914932 - Allegro.pl;https://allegro.pl/oferta/abu-garcia-revo-stx-10-spin-9187914932;09/23/2020 14:02:34;630.0
KOŁOWROTEK CARUS 4006 FD MIKADO SPŁAWIK / SPINNING 8790391067 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-carus-4006-fd-mikado-splawik-spinning-8790391067;09/23/2020 14:06:03;79.0
MOCNY KOŁOWROTEK SPINNINGOWA OKUMA ALTERA-55FD 7792908035 - Allegro.pl;https://allegro.pl/oferta/mocny-kolowrotek-spinningowa-okuma-altera-55fd-7792908035;09/23/2020 14:00:20;179.0
KOŁOWROTEK JAXON PIANO VM 300 7128042973 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-jaxon-piano-vm-300-7128042973;09/23/2020 13:58:57;37.84
Kołowrotek Robinson Signum Match RD 204 9531955127 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-robinson-signum-match-rd-204-9531955127;09/23/2020 14:02:23;89.0
KOŁOWROTEK MIKADO FINE LINER QUICK DRAG 12007 6769204625 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mikado-fine-liner-quick-drag-12007-6769204625;09/23/2020 14:07:24;173.0
Kołowrotek Team Dragon S Fd725iS 15-33-725 9114696228 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-team-dragon-s-fd725is-15-33-725-9114696228;09/23/2020 14:09:45;247.89
PENN SPINFISHER VI 7500 NOWOŚĆ KONKURS !!! 7914739802 - Allegro.pl;https://allegro.pl/oferta/penn-spinfisher-vi-7500-nowosc-konkurs-7914739802;09/23/2020 13:57:33;568.0
JAXON KOŁOWROTEK BLUE BIRD GT400 KJ-BBR400 9312938380 - Allegro.pl;https://allegro.pl/oferta/jaxon-kolowrotek-blue-bird-gt400-kj-bbr400-9312938380;09/23/2020 14:00:50;59.5
Kołowrotek Okuma Carbonite Match CRM-4000S 9642580986 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-okuma-carbonite-match-crm-4000s-9642580986;09/23/2020 14:09:24;103.0
Jaxon MAGNET CARP FRM 400 +++++ GRATISY +++++ 4929442442 - Allegro.pl;https://allegro.pl/oferta/jaxon-magnet-carp-frm-400-gratisy-4929442442;09/23/2020 14:01:00;64.99
Kołowrotek Dam Quick 1 6000 FS 3+1BB 8400011462 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-dam-quick-1-6000-fs-3-1bb-8400011462;09/23/2020 14:02:23;134.0
SPIN SZCZUPAK NEXAVE 3000HG FD SHIMANO 9055337252 - Allegro.pl;https://allegro.pl/oferta/spin-szczupak-nexave-3000hg-fd-shimano-9055337252;09/23/2020 14:11:22;179.0
Multiplikator Lew's CUSTOM SPEED SPOOL SLP 7,5:1 9059509849 - Allegro.pl;https://allegro.pl/oferta/multiplikator-lew-s-custom-speed-spool-slp-7-5-1-9059509849;09/23/2020 14:01:20;775.0
Kołowrotek Penn Clash 2500 8588709042 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-penn-clash-2500-8588709042;09/23/2020 14:06:13;679.0
KOŁOWROTEK MEGABAITS ELITE FR 540i 9644480858 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-megabaits-elite-fr-540i-9644480858;09/23/2020 14:12:44;141.89
Kołowrotek Okuma Epixor LS Spinning 30-(3000) 8943619511 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-okuma-epixor-ls-spinning-30-3000-8943619511;09/23/2020 13:56:52;215.0
Robinson kołowrotek Power Feeder FD 306 9497038789 - Allegro.pl;https://allegro.pl/oferta/robinson-kolowrotek-power-feeder-fd-306-9497038789;09/23/2020 13:59:08;179.0
Kołowrotek Flagman Sherman Pro Feeder 5000 Classic 9711877623 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-flagman-sherman-pro-feeder-5000-classic-9711877623;09/23/2020 14:13:04;279.9
Kołowrotek CFB3000 Spinning 4+1BB 9444025559 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-cfb3000-spinning-4-1bb-9444025559;09/23/2020 13:59:08;37.0
Zapasowa Szpula Do Kołowrotka Inception 6000 Okuma 8816732129 - Allegro.pl;https://allegro.pl/oferta/zapasowa-szpula-do-kolowrotka-inception-6000-okuma-8816732129;09/23/2020 14:01:10;67.99
KOŁOWROTEK GERMINA BLOOD 3000 9043900406 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-germina-blood-3000-9043900406;09/23/2020 13:57:43;119.99
Kołowrotek Mikado Intro Runner 4004 Wolny Bieg 8658071217 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mikado-intro-runner-4004-wolny-bieg-8658071217;09/23/2020 14:11:32;69.0
DO POŁOWU Z PLAŻY - DAIWA EMBLEM SURF 35 SCW QD 8793228965 - Allegro.pl;https://allegro.pl/oferta/do-polowu-z-plazy-daiwa-emblem-surf-35-scw-qd-8793228965;09/23/2020 14:02:13;683.0
KOŁOWROTEK CORMORAN PITCOR 5PIF 4500 14-01450 9451206066 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-cormoran-pitcor-5pif-4500-14-01450-9451206066;09/23/2020 13:59:39;169.0
Kołowrotek SHIMANO STRADIC CI4+ FB 4000 + GRATISY! 8992356203 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-shimano-stradic-ci4-fb-4000-gratisy-8992356203;09/23/2020 14:12:34;729.0
Daiwa Kołowrotek Emcast 25 A - WIADERKO GRATIS! 8709194874 - Allegro.pl;https://allegro.pl/oferta/daiwa-kolowrotek-emcast-25-a-wiaderko-gratis-8709194874;09/23/2020 13:58:26;369.0
kołowrotek Black TenaX 4000 Feeder Spinning 8+1bb 9441382699 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-black-tenax-4000-feeder-spinning-8-1bb-9441382699;09/23/2020 14:04:09;86.0
MIKADO KOŁOWROTEK EXCELLENCE 3004 FD+ GRATISY 8916015028 - Allegro.pl;https://allegro.pl/oferta/mikado-kolowrotek-excellence-3004-fd-gratisy-8916015028;09/23/2020 14:04:30;92.0
Kołowrotek MORSKI Shimano Spheros SW c4000 XG 8934798014 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-morski-shimano-spheros-sw-c4000-xg-8934798014;09/23/2020 13:56:11;499.0
2020!!! ABU GARCIA REVO BEAST X 41 LH 8677712581 - Allegro.pl;https://allegro.pl/oferta/2020-abu-garcia-revo-beast-x-41-lh-8677712581;09/23/2020 14:11:22;770.0
KOŁOWROTEK KARPIOWY RADICAL INSIST SLOW 14000 9306141848 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-karpiowy-radical-insist-slow-14000-9306141848;09/23/2020 14:01:00;420.0
Kołowrotek ALTERA ATE-45 FD 3+1 SPININGOWY 8955259136 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-altera-ate-45-fd-3-1-spiningowy-8955259136;09/23/2020 13:57:22;188.68
Daiwa KOŁOWROTEK EXCELER EMBLEM 5500 7522128040 - Allegro.pl;https://allegro.pl/oferta/daiwa-kolowrotek-exceler-emblem-5500-7522128040;09/23/2020 14:06:13;699.0
Kołowrotek Daiwa Black Widow BR 5000A 7366343736 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-daiwa-black-widow-br-5000a-7366343736;09/23/2020 14:12:44;319.0
Kołowrotek Dragon VIPER FD 630i +Gratis 9091628017 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-dragon-viper-fd-630i-gratis-9091628017;09/23/2020 14:07:03;115.0
Kołowrotek Shimano Sahara FI 4000 XG 7655752082 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-shimano-sahara-fi-4000-xg-7655752082;09/23/2020 14:08:53;315.0
KOŁOWROTEK MIKADO BALTIX 6005 FD MORSKI 8897401061 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mikado-baltix-6005-fd-morski-8897401061;09/23/2020 14:01:39;105.0
Kołowrotek Shimano Nasci FB 3000 HG 9269594591 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-shimano-nasci-fb-3000-hg-9269594591;09/23/2020 13:59:08;369.0
Rewelacyjny kołowrotek ARER PRO 3000, EXTRA PRACA 9250707492 - Allegro.pl;https://allegro.pl/oferta/rewelacyjny-kolowrotek-arer-pro-3000-extra-praca-9250707492;09/23/2020 14:01:20;90.0
KOŁOWROTEK JAXON PIANO VT 300 6719796679 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-jaxon-piano-vt-300-6719796679;09/23/2020 14:09:55;52.94
Sea Fox Kołowrotek Atlantic 607 9550118946 - Allegro.pl;https://allegro.pl/oferta/sea-fox-kolowrotek-atlantic-607-9550118946;09/23/2020 13:57:11;120.0
Spro Kołowrotek BLACK PIT 6000 9720674841 - Allegro.pl;https://allegro.pl/oferta/spro-kolowrotek-black-pit-6000-9720674841;09/23/2020 14:07:14;299.0
DAIWA Prorex LT 2000D 8867522744 - Allegro.pl;https://allegro.pl/oferta/daiwa-prorex-lt-2000d-8867522744;09/23/2020 14:01:30;760.0
Kołowrotek YORK DARK FORCE 2 6000 9498047612 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-york-dark-force-2-6000-9498047612;09/23/2020 14:04:09;135.0
Kołowrotek Dragon Destiny RD 0,20/240mm/m 9592199553 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-dragon-destiny-rd-0-20-240mm-m-9592199553;09/23/2020 14:05:01;47.0
KOŁOWROTEK DAM QUICK 6 METHOD 4000FD 9096846721 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-dam-quick-6-method-4000fd-9096846721;09/23/2020 14:02:13;482.0
Shimano Stella 1000 AR '01 Pierścień S-Weight ! 9697413312 - Allegro.pl;https://allegro.pl/oferta/shimano-stella-1000-ar-01-pierscien-s-weight-9697413312;09/23/2020 14:03:37;149.0
PENN CONFLICT 3000 II - lekki 258g 7775423450 - Allegro.pl;https://allegro.pl/oferta/penn-conflict-3000-ii-lekki-258g-7775423450;09/23/2020 14:04:30;590.0
Kołowrotek Fox EOS Pro 10000 CRL081 8880261038 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-fox-eos-pro-10000-crl081-8880261038;09/23/2020 14:00:20;359.0
KOŁOWROTEK KARPIOWY ANACONDA POWER CARP BTR 10000 9549086986 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-karpiowy-anaconda-power-carp-btr-10000-9549086986;09/23/2020 14:00:50;376.0
DOSKONAŁY KOŁOWROTEK Z WOLNYM BIEGIEM SW30 12BB 6934325208 - Allegro.pl;https://allegro.pl/oferta/doskonaly-kolowrotek-z-wolnym-biegiem-sw30-12bb-6934325208;09/23/2020 14:00:20;79.0
SANGER CARP REWINDER 7000 - MEGA PROMOCJA 7350085218 - Allegro.pl;https://allegro.pl/oferta/sanger-carp-rewinder-7000-mega-promocja-7350085218;09/23/2020 13:57:22;140.0
KOŁOWROTEK OKUMA HELIOS HSX-40FD 8BB+1RB 9507387281 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-okuma-helios-hsx-40fd-8bb-1rb-9507387281;09/23/2020 14:04:19;451.0
KOŁOWROTEK TRABUCCO PRECISION XTF 4500 karp feeder 8444009388 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-trabucco-precision-xtf-4500-karp-feeder-8444009388;09/23/2020 14:02:02;152.99
Kołowrotek Shimano Stradic CI4+ 2500 FB HG 8860711285 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-shimano-stradic-ci4-2500-fb-hg-8860711285;09/23/2020 13:59:39;739.0
Kołowrotek Konger Holiday Mini 110FD 7089867093 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-konger-holiday-mini-110fd-7089867093;09/23/2020 13:56:42;17.9
Matrix Kołowrotek Aquos Ultra 4000 9473686911 - Allegro.pl;https://allegro.pl/oferta/matrix-kolowrotek-aquos-ultra-4000-9473686911;09/23/2020 14:08:03;299.9
KOŁOWROTEK MORSKI SUMOWY SHIZUKA SKS FD 7000 9477192026 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-morski-sumowy-shizuka-sks-fd-7000-9477192026;09/23/2020 14:01:10;199.98
Kołowrotek KF 3000 F 9+1 BB spławik spinning 9580414375 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-kf-3000-f-9-1-bb-splawik-spinning-9580414375;09/23/2020 14:01:20;57.79
KOŁOWROTEK FEEDEROWY MS RANGE HEAVY STUFF 5000 8998875803 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-feederowy-ms-range-heavy-stuff-5000-8998875803;09/23/2020 14:04:40;399.99
Okuma Kołowrotek Tomcat TMC 14000 FD 6+1bb 9176605736 - Allegro.pl;https://allegro.pl/oferta/okuma-kolowrotek-tomcat-tmc-14000-fd-6-1bb-9176605736;09/23/2020 14:05:11;290.0
KOŁOWROTEK 9+1 ŁOŻYSK WOLNY BIEG IFR4000 8677273874 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-9-1-lozysk-wolny-bieg-ifr4000-8677273874;09/23/2020 13:57:11;67.99
DOBRZE UTRZYMANY KOŁOWROTEK DAIWA REGAL Z 4050 BR 9666095634 - Allegro.pl;https://allegro.pl/oferta/dobrze-utrzymany-kolowrotek-daiwa-regal-z-4050-br-9666095634;09/23/2020 14:09:24;170.0
Kołowrotek Ryobi Virtus 5000 4BB/1RB 8769371489 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-ryobi-virtus-5000-4bb-1rb-8769371489;09/23/2020 14:01:10;134.99
KOŁOWROTEK RUMPOL TUCSON 40 5BB ZAPASOWA SZPULA 7173869727 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-rumpol-tucson-40-5bb-zapasowa-szpula-7173869727;09/23/2020 13:58:15;34.0
Okuma Ceymar XT Spinning Reel CXT-55 FD 7+1 8613577496 - Allegro.pl;https://allegro.pl/oferta/okuma-ceymar-xt-spinning-reel-cxt-55-fd-7-1-8613577496;09/23/2020 14:08:33;279.0
